"scrape_datetime","country","movie name","release data","total groos","opening day","opening weekend","end off wek","lifetime"
"2023-03-21T12:01:34.298671","India"," Mrs. Chatterjee Vs Norway","2023/03/17 ","","1.27","6.42","","7.33"
"2023-03-21T12:01:34.298671","India"," Zwigato","2023/03/17 ","","0.43","1.84","","1.84"
"2023-03-21T12:01:34.298671","India"," Scream VI (English)","2023/03/10 ","","","","1.0","1.0"
"2023-03-21T12:01:34.298671","India"," Tar (English)","2023/03/10 ","","","","0.2","0.2"
"2023-03-21T12:01:34.298671","India"," 65 (English)","2023/03/10 ","","","","1.75","1.75"
"2023-03-21T12:01:34.298671","India"," Lohardaga","2023/03/10 ","","","","0.01","0.01"
"2023-03-21T12:01:34.298671","India"," Tu Jhoothi Main Makkaar","2023/03/08 ","","15.73","70.24","90.81","107.51"
"2023-03-21T12:01:34.298671","India"," Creed III (English)","2023/03/03 ","","","","1.75","1.75"
"2023-03-21T12:01:34.298671","India"," InCar","2023/03/03 ","","","","0.06","0.06"
"2023-03-21T12:01:34.298671","India"," The Eternal Daughter (English)","2023/03/03 ","","","","0.05","0.05"
"2023-03-21T12:01:34.298671","India"," Triangle Of Sadness (English)","2023/03/03 ","","","","0.25","0.25"
"2023-03-21T12:01:34.298671","India"," Selfiee","2023/02/24 ","","2.55","10.3","14.1","16.85"
"2023-03-21T12:01:34.298671","India"," Main Raj Kapoor Ho Gaya","2023/02/17 ","","","","0.001","0.001"
"2023-03-21T12:01:34.298671","India"," Ant-Man and the Wasp: Quantumania (English)","2023/02/17 ","","8.1","24.1","30.35","43.19"
"2023-03-21T12:01:34.298671","India"," Shehzada","2023/02/17 ","","6.0","20.2","26.0","32.2"
"2023-03-21T12:01:34.298671","India"," Shiv Shastri Balboa","2023/02/10 ","","","","0.55","0.55"
"2023-03-21T12:01:34.298671","India"," The Fablemans (English)","2023/02/10 ","","","","0.3","0.3"
"2023-03-21T12:01:34.298671","India"," A Man Called Otto (English)","2023/02/10 ","","","","0.65","0.65"
"2023-03-21T12:01:34.298671","India"," Magic Mike’s Last Dance (English)","2023/02/10 ","","","","0.15","0.15"
"2023-03-21T12:01:34.298671","India"," Almost Pyaar With DJ Mohabbat","2023/02/03 ","","","","0.25","0.25"
"2023-03-21T12:01:34.298671","India"," The Woman King (English)","2023/02/03 ","","","","0.5","0.5"
"2023-03-21T12:01:34.298671","India"," Faraaz","2023/02/03 ","","","","0.15","0.15"
"2023-03-21T12:01:34.298671","India"," Daman","2023/02/03 ","","","","0.25","0.25"
